Delivery Date,Delivery Hour,Settlement Point Name,Settlement Point Price
10/2/2020,13,LZ_SOUTH,17.95
10/19/2020,21,LZ_SOUTH,28.01
10/3/2020,9,LZ_NORTH,5.63
10/31/2020,16,LZ_SOUTH,20.43
10/27/2020,20,LZ_WEST,61.2425
10/2/2020,9,LZ_SOUTH,15.0575
10/20/2020,9,LZ_WEST,23.45
10/1/2020,1,LZ_NORTH,12.2425
10/5/2020,11,LZ_WEST,2.5775
10/14/2020,4,LZ_NORTH,13.4225
10/3/2020,14,LZ_NORTH,15.6125
10/30/2020,5,LZ_NORTH,28.275
10/3/2020,20,LZ_HOUSTON,17.6625
10/12/2020,18,LZ_WEST,27.8825
10/16/2020,6,LZ_SOUTH,15.78
10/7/2020,9,LZ_SOUTH,14.7625
10/10/2020,6,LZ_SOUTH,8.7675
10/10/2020,5,LZ_WEST,12.49
10/22/2020,5,LZ_NORTH,13.7875
10/20/2020,16,LZ_NORTH,63.4825
10/29/2020,6,LZ_SOUTH,16.7375
10/29/2020,2,LZ_NORTH,18.17
10/4/2020,7,LZ_SOUTH,12.545
10/23/2020,10,LZ_NORTH,31.2
10/31/2020,23,LZ_HOUSTON,23.17
10/27/2020,23,LZ_WEST,34.125
10/30/2020,11,LZ_WEST,28.7375
10/31/2020,4,LZ_NORTH,28.9425
10/21/2020,7,LZ_HOUSTON,19.6125
10/10/2020,19,LZ_NORTH,31.3275
10/14/2020,15,LZ_HOUSTON,27.265
10/14/2020,18,LZ_SOUTH,37.8075
10/15/2020,8,LZ_WEST,-0.69
10/28/2020,13,LZ_HOUSTON,22.455
10/13/2020,20,LZ_WEST,37.3225
10/22/2020,15,LZ_NORTH,46.75
10/2/2020,2,LZ_HOUSTON,11.9325
10/25/2020,21,LZ_WEST,6.31
10/29/2020,13,LZ_NORTH,23.3475
10/18/2020,11,LZ_NORTH,17.2325
10/27/2020,21,LZ_WEST,37.88
10/30/2020,9,LZ_NORTH,45.3475
10/17/2020,14,LZ_NORTH,15.1425
10/29/2020,23,LZ_HOUSTON,27.0125
10/29/2020,15,LZ_NORTH,20.0375
10/12/2020,22,LZ_SOUTH,20.9975
10/31/2020,3,LZ_HOUSTON,20.945
10/11/2020,8,LZ_WEST,6.5475
10/5/2020,7,LZ_HOUSTON,15.52
10/15/2020,1,LZ_WEST,5.2
10/4/2020,24,LZ_WEST,31.575
10/3/2020,23,LZ_WEST,11.73
10/1/2020,12,LZ_HOUSTON,14.4975
10/25/2020,3,LZ_HOUSTON,14.7675
10/29/2020,17,LZ_NORTH,17.725
10/1/2020,6,LZ_WEST,16.1575
10/5/2020,6,LZ_NORTH,8.295
10/22/2020,13,LZ_WEST,-1.67
10/9/2020,7,LZ_NORTH,16.6675
10/27/2020,9,LZ_SOUTH,34.025
10/25/2020,20,LZ_NORTH,18.5325
10/19/2020,18,LZ_HOUSTON,32.0575
10/14/2020,9,LZ_WEST,1.74
10/12/2020,21,LZ_SOUTH,22.4875
10/19/2020,16,LZ_WEST,53.0775
10/31/2020,10,LZ_NORTH,46.8125
10/31/2020,21,LZ_WEST,27.095
10/16/2020,8,LZ_NORTH,19.2625
10/9/2020,18,LZ_NORTH,244.185
10/14/2020,5,LZ_HOUSTON,9.675
10/18/2020,14,LZ_NORTH,25.945
10/23/2020,16,LZ_HOUSTON,21.45
10/20/2020,22,LZ_NORTH,18.86
10/1/2020,21,LZ_SOUTH,17.3875
10/18/2020,6,LZ_SOUTH,8.635
10/23/2020,8,LZ_NORTH,22.285
10/27/2020,2,LZ_HOUSTON,31.88
10/2/2020,24,LZ_NORTH,10.115
10/11/2020,20,LZ_WEST,27.8425
10/26/2020,19,LZ_WEST,640.48
10/25/2020,1,LZ_HOUSTON,17.705
10/16/2020,7,LZ_HOUSTON,19.12
10/23/2020,12,LZ_HOUSTON,31.78
10/1/2020,3,LZ_HOUSTON,13.5175
10/20/2020,6,LZ_HOUSTON,17.905
10/14/2020,11,LZ_SOUTH,19.7475
10/15/2020,17,LZ_NORTH,15.0175
10/20/2020,16,LZ_SOUTH,59.625
10/21/2020,15,LZ_SOUTH,55.09
10/12/2020,7,LZ_HOUSTON,14.8425
10/16/2020,2,LZ_NORTH,17.29
10/31/2020,15,LZ_SOUTH,18.16
10/15/2020,16,LZ_NORTH,25.9975
10/20/2020,22,LZ_HOUSTON,32.2925
10/21/2020,2,LZ_NORTH,19.455
10/5/2020,19,LZ_HOUSTON,29.3325
10/13/2020,2,LZ_SOUTH,16.195
10/9/2020,21,LZ_HOUSTON,20.8375
10/7/2020,20,LZ_NORTH,21.135
10/18/2020,9,LZ_NORTH,15.7125
10/31/2020,17,LZ_HOUSTON,24.245
10/19/2020,15,LZ_SOUTH,36.8925
10/15/2020,23,LZ_NORTH,18.3875
10/28/2020,4,LZ_WEST,33.805
10/20/2020,21,LZ_SOUTH,25.2225
10/6/2020,7,LZ_NORTH,14.1275
10/23/2020,19,LZ_WEST,11.085
10/15/2020,7,LZ_NORTH,16.97
10/4/2020,13,LZ_NORTH,19.1175
10/2/2020,3,LZ_WEST,43.655
10/13/2020,23,LZ_WEST,8.575
10/20/2020,16,LZ_WEST,-0.305
10/14/2020,7,LZ_SOUTH,50.2425
10/31/2020,7,LZ_HOUSTON,29.17
10/18/2020,17,LZ_WEST,24.575
10/2/2020,21,LZ_NORTH,12.87
10/9/2020,23,LZ_NORTH,16.67
10/19/2020,22,LZ_NORTH,24.5825
10/26/2020,22,LZ_NORTH,73.9575
10/5/2020,19,LZ_WEST,70.965
10/5/2020,5,LZ_SOUTH,13.485
10/28/2020,2,LZ_WEST,36.9975
10/2/2020,22,LZ_HOUSTON,13.815
10/25/2020,2,LZ_HOUSTON,16.03
10/11/2020,6,LZ_HOUSTON,6.025
10/7/2020,7,LZ_NORTH,13.94
10/23/2020,10,LZ_SOUTH,23.1825
10/2/2020,14,LZ_WEST,10.4525
10/5/2020,20,LZ_SOUTH,21
10/24/2020,2,LZ_HOUSTON,18.975
10/27/2020,12,LZ_HOUSTON,87.2125
10/30/2020,10,LZ_SOUTH,29.6775
10/5/2020,21,LZ_HOUSTON,18.09
10/6/2020,2,LZ_NORTH,6.3125
10/5/2020,19,LZ_NORTH,26.255
10/10/2020,21,LZ_NORTH,18.64
10/29/2020,2,LZ_HOUSTON,17.3675
10/20/2020,3,LZ_NORTH,17.2725
10/27/2020,11,LZ_HOUSTON,69.8375
10/25/2020,2,LZ_WEST,-1.225
10/2/2020,7,LZ_HOUSTON,13.2525
10/18/2020,23,LZ_SOUTH,36.215
10/9/2020,6,LZ_SOUTH,15.1375
10/20/2020,19,LZ_NORTH,29.655
10/23/2020,5,LZ_SOUTH,17.715
10/12/2020,4,LZ_WEST,7.87
10/2/2020,13,LZ_WEST,12.24
10/20/2020,15,LZ_WEST,-0.5025
10/7/2020,14,LZ_HOUSTON,32.1575
10/16/2020,16,LZ_NORTH,19.175
10/7/2020,7,LZ_WEST,13.92
10/30/2020,14,LZ_NORTH,23.5375
10/3/2020,18,LZ_NORTH,19.255
10/10/2020,17,LZ_WEST,323.9375
10/10/2020,6,LZ_NORTH,8.79
10/1/2020,4,LZ_SOUTH,15.4125
10/4/2020,9,LZ_WEST,24.2725
10/27/2020,5,LZ_WEST,52.92
10/23/2020,17,LZ_SOUTH,25.01
10/6/2020,4,LZ_WEST,-0.3675
10/3/2020,16,LZ_HOUSTON,36.815
10/28/2020,20,LZ_SOUTH,23.1
10/26/2020,10,LZ_HOUSTON,36.6825
10/13/2020,8,LZ_SOUTH,17.415
10/30/2020,1,LZ_WEST,28.665
10/29/2020,10,LZ_WEST,14.2525
10/14/2020,18,LZ_NORTH,39.85
10/14/2020,22,LZ_SOUTH,42.7925
10/6/2020,22,LZ_SOUTH,16.335
10/28/2020,15,LZ_NORTH,27.9925
10/27/2020,1,LZ_HOUSTON,40.4
10/1/2020,1,LZ_WEST,12.22
10/27/2020,10,LZ_WEST,349.975
10/5/2020,15,LZ_HOUSTON,34.95
10/29/2020,19,LZ_WEST,45.5875
10/13/2020,21,LZ_WEST,22.4525
10/10/2020,22,LZ_SOUTH,16.6275
10/14/2020,1,LZ_WEST,-0.57
10/13/2020,19,LZ_HOUSTON,30.6525
10/4/2020,7,LZ_WEST,14.1075
