Hour,Generation_Value,Date,Fuel
2,19.171193,1/1/2021,Biomass
2,6166.239724,1/1/2021,Coal
2,1336.967578,1/1/2021,Gas
2,16334.88079,1/1/2021,Gas-CC
2,12.210071,1/1/2021,Hydro
2,5102.015677,1/1/2021,Nuclear
2,1.200958,1/1/2021,Other
2,0.000995,1/1/2021,Solar
2,14289.14477,1/1/2021,Wind
2,19.120266,1/2/2021,Biomass
2,10060.23665,1/2/2021,Coal
2,1036.479174,1/2/2021,Gas
2,21451.6069,1/2/2021,Gas-CC
2,14.006438,1/2/2021,Hydro
2,5104.525848,1/2/2021,Nuclear
2,-1.876375,1/2/2021,Other
2,0.010234,1/2/2021,Solar
2,2988.646125,1/2/2021,Wind
2,18.487031,1/3/2021,Biomass
2,6056.263488,1/3/2021,Coal
2,549.287519,1/3/2021,Gas
2,12195.81405,1/3/2021,Gas-CC
2,10.935053,1/3/2021,Hydro
2,5109.334442,1/3/2021,Nuclear
2,-2.984036,1/3/2021,Other
2,0.011729,1/3/2021,Solar
2,16250.68117,1/3/2021,Wind
2,18.446909,1/4/2021,Biomass
2,5654.830936,1/4/2021,Coal
2,508.589974,1/4/2021,Gas
2,10367.65936,1/4/2021,Gas-CC
2,10.965874,1/4/2021,Hydro
2,5114.087957,1/4/2021,Nuclear
2,1.224504,1/4/2021,Other
2,0.011881,1/4/2021,Solar
2,13915.87323,1/4/2021,Wind
2,16.302484,1/5/2021,Biomass
2,8316.761269,1/5/2021,Coal
2,499.323467,1/5/2021,Gas
2,16232.04625,1/5/2021,Gas-CC
2,12.295944,1/5/2021,Hydro
2,5119.68038,1/5/2021,Nuclear
2,11.667442,1/5/2021,Other
2,0.012174,1/5/2021,Solar
2,4439.14449,1/5/2021,Wind
2,20.286462,1/6/2021,Biomass
2,4798.428259,1/6/2021,Coal
2,464.727636,1/6/2021,Gas
2,4232.549649,1/6/2021,Gas-CC
2,12.209266,1/6/2021,Hydro
2,5115.287054,1/6/2021,Nuclear
2,-2.048294,1/6/2021,Other
2,0.002817,1/6/2021,Solar
2,18161.59825,1/6/2021,Wind
2,19.076619,1/7/2021,Biomass
2,8205.086079,1/7/2021,Coal
2,528.616493,1/7/2021,Gas
2,5942.160945,1/7/2021,Gas-CC
2,10.508584,1/7/2021,Hydro
