Date,Load,Hour
1/1/2019,37081.44344,1
1/1/2019,37258.98993,2
1/1/2019,37300.18781,3
1/1/2019,37423.54346,4
1/1/2019,37895.21229,5
1/1/2019,38825.08942,6
1/1/2019,39910.65557,7
1/1/2019,40436.55619,8
1/1/2019,40950.15823,9
1/1/2019,41763.47111,10
1/1/2019,42249.93783,11
1/1/2019,42296.6801,12
1/1/2019,41879.17794,13
1/1/2019,41376.30864,14
1/1/2019,40991.34613,15
1/1/2019,41015.88665,16
1/1/2019,41842.17937,17
1/1/2019,44058.74471,18
1/1/2019,45400.62442,19
1/1/2019,45246.04165,20
1/1/2019,44844.3056,21
1/1/2019,43901.78062,22
1/1/2019,42206.59568,23
1/1/2019,40494.83585,24
1/2/2019,39246.74255,1
1/2/2019,38577.96475,2
1/2/2019,38434.14099,3
1/2/2019,38830.9802,4
1/2/2019,40072.09008,5
1/2/2019,42485.79707,6
1/2/2019,45299.72303,7
1/2/2019,47420.62415,8
1/2/2019,48547.90705,9
1/2/2019,49679.18913,10
1/2/2019,50682.59113,11
1/2/2019,51256.52327,12
1/2/2019,51414.31386,13
1/2/2019,51455.22069,14
1/2/2019,51263.43806,15
1/2/2019,51149.18109,16
1/2/2019,51381.51197,17
1/2/2019,52717.56394,18
1/2/2019,53277.1324,19
1/2/2019,52309.21651,20
1/2/2019,51043.85213,21
1/2/2019,49194.02761,22
1/2/2019,46628.16578,23
1/2/2019,44287.42687,24
1/3/2019,42470.57439,1
1/3/2019,41445.49456,2
1/3/2019,41061.88985,3
1/3/2019,41019.87332,4
1/3/2019,41999.26146,5
1/3/2019,44024.87389,6
1/3/2019,46572.41375,7
1/3/2019,48255.84864,8
1/3/2019,48684.82809,9
1/3/2019,48896.62774,10
1/3/2019,49026.0261,11
1/3/2019,48540.92225,12
1/3/2019,47492.46116,13
1/3/2019,46312.87367,14
1/3/2019,45216.12405,15
1/3/2019,44530.41445,16
1/3/2019,44772.64772,17
1/3/2019,46512.88122,18
1/3/2019,48596.58825,19
1/3/2019,48814.77949,20
1/3/2019,48647.18436,21
1/3/2019,47765.30168,22
1/3/2019,46020.99765,23
1/3/2019,44191.86534,24
1/4/2019,43062.27597,1
1/4/2019,42515.87088,2
1/4/2019,42367.48591,3
1/4/2019,42732.0359,4
1/4/2019,43704.84602,5
1/4/2019,46019.06006,6
1/4/2019,48824.86282,7
1/4/2019,50161.95032,8
1/4/2019,49292.11303,9
1/4/2019,47110.96977,10
1/4/2019,45046.2527,11
1/4/2019,42861.73672,12
1/4/2019,40740.37857,13
1/4/2019,39193.19925,14
1/4/2019,37952.54263,15
1/4/2019,37056.14335,16
1/4/2019,36749.96872,17
1/4/2019,37954.1509,18
1/4/2019,40150.95012,19
1/4/2019,40524.77092,20
1/4/2019,40718.69089,21
1/4/2019,40572.59082,22
1/4/2019,39777.36204,23
1/4/2019,38636.9235,24
1/5/2019,37802.6642,1
1/5/2019,37500.86692,2
1/5/2019,37567.39523,3
1/5/2019,38055.27616,4
1/5/2019,38925.98839,5
1/5/2019,40399.26162,6
1/5/2019,42314.27342,7
1/5/2019,43898.21994,8
1/5/2019,43861.5818,9
1/5/2019,42009.96508,10
1/5/2019,39824.31106,11
1/5/2019,37778.88544,12
1/5/2019,36191.30358,13
1/5/2019,35090.53029,14
1/5/2019,34369.34061,15
1/5/2019,33968.36193,16
1/5/2019,33893.95442,17
1/5/2019,34818.76969,18
1/5/2019,36655.31691,19
1/5/2019,36685.039,20
1/5/2019,36293.1369,21
1/5/2019,36061.71394,22
1/5/2019,35333.23981,23
1/5/2019,34516.54992,24
1/6/2019,33497.97216,1
1/6/2019,32912.22792,2
1/6/2019,32696.53846,3
1/6/2019,32846.38371,4
1/6/2019,33369.36091,5
1/6/2019,34294.1096,6
1/6/2019,35666.49436,7
1/6/2019,36737.77094,8
1/6/2019,37361.88853,9
1/6/2019,36988.63893,10
1/6/2019,36089.81811,11
1/6/2019,35467.03344,12
1/6/2019,34979.29966,13
1/6/2019,34661.29782,14
1/6/2019,34290.90132,15
1/6/2019,34185.25308,16
1/6/2019,34396.06459,17
1/6/2019,35477.14944,18
1/6/2019,37288.02686,19
1/6/2019,37262.37765,20
1/6/2019,36578.86534,21
1/6/2019,35402.96562,22
1/6/2019,33530.22215,23
1/6/2019,31444.94404,24
1/7/2019,29951.41669,1
1/7/2019,28888.12979,2
1/7/2019,28509.15606,3
1/7/2019,28448.75727,4
1/7/2019,29234.03298,5
1/7/2019,31171.02161,6
1/7/2019,34165.55524,7
1/7/2019,35608.37781,8
1/7/2019,35841.39707,9
1/7/2019,36212.98178,10
1/7/2019,36721.63952,11
1/7/2019,36958.65003,12
1/7/2019,37129.56852,13
1/7/2019,37400.72604,14
1/7/2019,37415.01672,15
1/7/2019,37255.99973,16
1/7/2019,37040.10135,17
1/7/2019,37675.46842,18
1/7/2019,39334.73367,19
1/7/2019,39036.94168,20
1/7/2019,38102.85148,21
1/7/2019,36691.14756,22
1/7/2019,34494.74944,23
1/7/2019,32188.17615,24
1/8/2019,30517.69632,1
1/8/2019,29651.79276,2
1/8/2019,29322.56117,3
1/8/2019,29433.26741,4
1/8/2019,30256.87275,5
1/8/2019,32662.39521,6
1/8/2019,36377.01716,7
1/8/2019,37915.38133,8
1/8/2019,37526.82071,9
1/8/2019,37426.32617,10
1/8/2019,37546.53787,11
1/8/2019,37579.84836,12
1/8/2019,37548.28124,13
1/8/2019,37543.64994,14
1/8/2019,37386.99931,15
1/8/2019,37056.9526,16
1/8/2019,36954.56693,17
1/8/2019,37892.41332,18
1/8/2019,39711.80552,19
1/8/2019,39624.41552,20
1/8/2019,38957.55915,21
1/8/2019,37528.86676,22
1/8/2019,35294.84798,23
1/8/2019,33093.63804,24
1/9/2019,31703.2925,1
1/9/2019,31022.74853,2
1/9/2019,30920.23576,3
1/9/2019,31153.61574,4
1/9/2019,32103.94746,5
1/9/2019,34663.79513,6
1/9/2019,38875.82713,7
1/9/2019,40521.45765,8
1/9/2019,40183.37667,9
1/9/2019,39893.0594,10
1/9/2019,39415.99589,11
1/9/2019,38633.79785,12
1/9/2019,37742.71298,13
1/9/2019,37179.86623,14
1/9/2019,36672.13136,15
1/9/2019,36349.93529,16
1/9/2019,36610.18937,17
1/9/2019,38087.22161,18
1/9/2019,40519.75323,19
1/9/2019,40951.20432,20
1/9/2019,40787.54881,21
1/9/2019,39841.14226,22
1/9/2019,37757.96179,23
1/9/2019,35753.96064,24
1/10/2019,34566.10663,1
1/10/2019,34022.04477,2
1/10/2019,33842.48747,3
1/10/2019,34153.76768,4
1/10/2019,35209.47324,5
1/10/2019,37864.63916,6
1/10/2019,41955.07862,7
1/10/2019,43286.58903,8
1/10/2019,42544.97024,9
1/10/2019,41963.3278,10
1/10/2019,41345.33506,11
1/10/2019,40512.83718,12
1/10/2019,39630.87524,13
1/10/2019,38939.94571,14
1/10/2019,38381.11521,15
1/10/2019,38146.32849,16
1/10/2019,38548.93964,17
1/10/2019,39768.92384,18
1/10/2019,41670.70258,19
1/10/2019,41831.15399,20
1/10/2019,41439.01111,21
1/10/2019,40204.79113,22
1/10/2019,37945.37155,23
1/10/2019,35824.75161,24
1/11/2019,34400.05692,1
1/11/2019,33634.18125,2
1/11/2019,33293.67686,3
1/11/2019,33377.55531,4
1/11/2019,34307.84057,5
1/11/2019,36691.03709,6
1/11/2019,40406.16428,7
1/11/2019,41804.00959,8
1/11/2019,41400.43281,9
1/11/2019,41381.06405,10
1/11/2019,41303.1391,11
1/11/2019,40753.16747,12
1/11/2019,40033.87702,13
1/11/2019,39524.28597,14
1/11/2019,39219.41206,15
1/11/2019,38943.27213,16
1/11/2019,39166.93712,17
1/11/2019,40109.04732,18
1/11/2019,40789.73252,19
1/11/2019,40061.64382,20
1/11/2019,39218.60629,21
1/11/2019,37958.44035,22
1/11/2019,36158.7707,23
1/11/2019,34269.37519,24
1/12/2019,32779.53047,1
1/12/2019,31759.26374,2
1/12/2019,31156.64933,3
1/12/2019,31059.96319,4
1/12/2019,31547.37989,5
1/12/2019,32826.17959,6
1/12/2019,34625.31129,7
1/12/2019,36352.76664,8
1/12/2019,37526.43671,9
1/12/2019,38354.50751,10
1/12/2019,38884.16582,11
1/12/2019,39122.70619,12
1/12/2019,38914.76963,13
1/12/2019,38534.18722,14
1/12/2019,38147.52421,15
1/12/2019,38075.79696,16
1/12/2019,38174.38555,17
1/12/2019,38969.65661,18
1/12/2019,40463.27754,19
1/12/2019,40356.81031,20
1/12/2019,39964.66012,21
1/12/2019,39392.50272,22
1/12/2019,38569.4465,23
1/12/2019,37439.33904,24
1/13/2019,36459.36911,1
1/13/2019,35978.7411,2
1/13/2019,35871.10431,3
1/13/2019,36085.92101,4
1/13/2019,36680.5355,5
1/13/2019,37811.26077,6
1/13/2019,39486.18998,7
1/13/2019,41155.38743,8
1/13/2019,42409.26392,9
1/13/2019,42990.12527,10
1/13/2019,42659.58529,11
1/13/2019,41765.26179,12
1/13/2019,40746.15845,13
1/13/2019,39927.13314,14
1/13/2019,39288.97938,15
1/13/2019,39188.87544,16
1/13/2019,39710.58121,17
1/13/2019,41576.87733,18
1/13/2019,44064.76633,19
1/13/2019,44875.95724,20
1/13/2019,44655.0992,21
1/13/2019,43649.9178,22
1/13/2019,41581.74288,23
1/13/2019,39683.72148,24
1/14/2019,38501.53275,1
1/14/2019,38018.16624,2
1/14/2019,38041.80287,3
1/14/2019,38517.61146,4
1/14/2019,39905.71921,5
1/14/2019,43103.13351,6
1/14/2019,47531.74392,7
1/14/2019,49085.7108,8
