Hour,Date,HourlyDryBulbTemperatureAmerillo,HourlyRelativeHumidityAmerillo,HourlyWindSpeedAmerillo,HourlyDryBulbTemperatureAustin,HourlyRelativeHumidityAustin,HourlyWindSpeedAustin,HourlyDryBulbTemperatureDallas,HourlyRelativeHumidityDallas,HourlyWindSpeedDallas,HourlyDryBulbTemperatureElPaso,HourlyRelativeHumidityElPaso,HourlyWindSpeedElPaso,HourlyDryBulbTemperatureHoustan,HourlyRelativeHumidityHoustan,HourlyWindSpeedHoustan,HourlyDryBulbTemperatureLaredo,HourlyRelativeHumidityLaredo,HourlyWindSpeedLaredo,HourlyDryBulbTemperatureOdessa,HourlyRelativeHumidityOdessa,HourlyWindSpeedOdessa,HourlyDryBulbTemperatureSanAnto,HourlyRelativeHumiditySanAnto,HourlyWindSpeedSanAnto,HourlyDryBulbTemperatureSweet,HourlyRelativeHumiditySweet,HourlyWindSpeedSweet
1,1/1/2019,19,77,22,45,90,0,43,76,15,33,70,6,45,100,3,45,83,5,37,73,21,40,93,6,33,87,17
2,1/1/2019,17,80,26,37,96,0,41,79,17,31,76,5,43,100,0,44,83,3,31,85,22,40,93,0,31,79,13
3,1/1/2019,17,80,23,36,97,0,41,79,17,32,73,6,44,100,0,43,82,3,29,85,25,39,93,6,28,84,17
4,1/1/2019,17,77,20,41,89,7,40,79,17,32,69,0,41,100,0,42,85,5,28,85,23,39,93,6,28,88,16
5,1/1/2019,15,80,23,41,79,8,39,82,13,31,76,5,40,100,0,44,83,6,27,85,21,40,89,7,27,90,17
6,1/1/2019,14,80,25,42,76,5,38,79,15,29,78,5,42,100,0,44,79,7,26,84,18,43,76,5,26,88,10
7,1/1/2019,13,81,21,41,82,10,37,79,16,34,59,6,41,100,0,42,85,10,25,85,20,43,74,8,26,92,15
8,1/1/2019,13,81,17,41,82,10,37,76,17,35,64,6,42,100,5,43,86,9,25,85,22,43,74,8,26,94,13
9,1/1/2019,13,81,17,42,82,11,37,76,17,38,57,6,50,93,7,47,83,9,26,81,16,44,73,8,26,97,13
10,1/1/2019,13,84,13,44,83,17,37,76,15,39,57,11,55,83,9,50,71,8,26,84,17,45,71,13,26,100,14
11,1/1/2019,16,74,14,45,80,17,37,73,16,40,55,9,60,67,11,54,69,14,26,81,15,50,63,13,26,93,10
12,1/1/2019,17,77,13,45,74,7,36,76,15,44,45,5,62,62,16,56,67,11,26,81,15,50,63,13,27,91,11
13,1/1/2019,17,74,11,46,77,17,38,70,14,48,36,8,65,52,11,56,67,10,27,81,10,51,64,13,26,92,15
14,1/1/2019,18,68,10,45,77,18,38,73,15,48,37,9,64,54,10,56,62,8,28,78,13,50,66,14,27,89,10
15,1/1/2019,19,68,10,45,77,17,38,73,16,49,35,10,64,54,10,56,60,7,29,75,11,49,69,16,27,86,11
16,1/1/2019,19,68,7,44,79,20,37,73,15,47,39,11,63,58,7,56,62,11,29,75,9,47,69,14,27,86,10
17,1/1/2019,19,65,6,44,79,17,36,73,13,43,45,11,62,60,6,55,64,11,29,75,9,45,74,13,27,86,8
18,1/1/2019,18,71,8,42,79,6,36,73,13,37,54,17,61,65,7,55,62,6,28,78,7,44,73,14,27,85,0
19,1/1/2019,18,71,3,43,80,14,36,73,10,33,61,16,60,70,8,54,67,7,28,78,7,43,74,9,27,85,6
20,1/1/2019,18,71,6,43,80,14,36,73,11,33,61,7,60,70,9,53,69,11,28,78,9,43,74,11,27,84,8
21,1/1/2019,17,74,5,43,76,13,36,73,13,31,67,8,59,72,8,53,66,11,28,78,10,43,74,10,27,86,7
22,1/1/2019,17,74,0,42,79,13,35,72,11,30,69,8,58,75,6,52,72,9,27,81,10,43,74,13,26,85,9
23,1/1/2019,18,71,0,42,79,14,35,72,10,26,69,3,57,78,8,51,74,6,27,81,10,43,74,14,26,92,3
24,1/1/2019,19,71,7,42,76,15,35,72,9,25,81,8,56,77,8,48,89,7,27,81,9,42,76,8,26,92,0
1,1/2/2019,19,71,7,40,79,7,35,72,9,28,75,9,56,77,8,47,90,8,27,81,9,42,76,14,26,92,7
2,1/2/2019,15,80,9,40,83,11,34,73,13,28,75,13,55,77,6,46,96,9,26,92,10,41,82,14,26,100,6
3,1/2/2019,13,84,6,39,86,9,34,73,11,27,78,9,54,80,8,46,93,11,26,92,8,41,82,11,26,93,9
4,1/2/2019,14,80,7,38,89,13,33,75,10,26,78,7,54,80,10,45,93,9,26,92,10,40,86,9,26,88,8
5,1/2/2019,14,84,7,37,93,10,33,78,10,25,85,5,53,83,14,44,96,15,26,92,13,40,86,10,26,85,10
6,1/2/2019,13,84,8,36,93,8,32,85,9,27,78,0,52,86,11,45,93,10,26,92,11,39,93,9,26,84,13
7,1/2/2019,16,84,8,37,93,9,32,88,13,25,81,8,51,92,10,44,93,7,26,96,11,40,89,7,25,100,9
8,1/2/2019,14,84,8,38,93,10,32,92,10,27,81,6,51,92,10,45,93,9,26,96,10,40,89,9,25,100,9
9,1/2/2019,16,84,5,38,97,10,32,92,14,29,75,8,51,92,11,45,97,3,27,92,8,41,93,9,25,100,7
10,1/2/2019,24,68,10,39,93,10,33,92,9,30,72,8,51,96,14,45,93,7,27,92,10,41,93,9,26,100,0
11,1/2/2019,27,61,9,38,93,11,33,92,11,31,69,8,50,100,13,46,93,9,27,96,7,42,89,9,26,100,7
12,1/2/2019,30,54,9,37,89,7,33,92,9,32,66,6,50,100,9,46,93,11,27,96,7,41,89,10,27,100,0
13,1/2/2019,33,47,,38,93,10,33,96,11,34,61,6,51,96,10,45,97,15,28,96,7,40,93,11,27,100,9
14,1/2/2019,35,44,0,38,93,10,34,92,10,36,59,14,51,96,10,45,97,13,29,92,7,41,93,9,27,100,8
15,1/2/2019,39,39,9,38,93,11,34,92,10,36,59,14,52,100,9,46,93,8,29,96,5,40,93,10,27,100,8
16,1/2/2019,38,43,9,38,93,9,35,93,8,35,61,11,53,100,11,44,96,11,30,88,3,41,93,7,28,100,8
17,1/2/2019,36,46,9,38,97,9,35,93,13,34,67,11,53,100,9,43,97,9,30,88,7,42,92,7,28,100,0
18,1/2/2019,29,61,6,38,93,6,34,97,16,34,67,3,53,100,6,42,96,5,30,92,8,42,92,7,28,100,5
19,1/2/2019,27,66,6,39,96,9,34,97,9,35,67,0,53,100,9,43,93,6,30,92,6,44,93,15,28,100,7
20,1/2/2019,23,78,7,41,93,10,35,96,10,35,70,5,52,100,10,42,96,10,31,89,3,41,93,13,29,100,3
21,1/2/2019,25,72,8,38,93,14,35,93,10,35,70,3,52,100,9,42,92,10,31,89,0,39,93,10,29,100,3
22,1/2/2019,24,68,8,38,93,13,34,97,10,34,73,0,52,100,5,42,92,11,31,85,3,38,97,10,29,100,0
23,1/2/2019,23,72,7,38,93,11,35,96,9,33,78,7,53,100,20,41,96,14,30,88,5,37,96,10,29,100,0
24,1/2/2019,20,74,5,38,97,8,35,96,8,35,72,8,55,96,9,41,93,15,31,89,6,38,97,11,29,100,0
1,1/3/2019,20,74,5,37,96,6,35,96,8,30,85,9,55,96,9,41,96,14,31,89,6,38,93,15,29,100,0
2,1/3/2019,20,74,8,39,93,11,35,96,11,29,89,8,56,100,7,41,96,14,31,89,6,38,93,9,29,100,0
3,1/3/2019,21,68,6,39,93,11,35,96,11,29,92,5,55,100,5,41,96,11,31,85,8,38,93,13,30,100,0
4,1/3/2019,20,74,5,39,93,9,35,96,10,30,88,6,55,100,3,41,93,14,31,82,8,38,97,9,31,100,5
5,1/3/2019,21,68,9,38,93,9,35,93,13,28,88,6,55,100,7,40,97,15,28,85,8,38,97,8,31,100,9
6,1/3/2019,21,68,5,37,93,6,35,96,8,25,92,0,54,100,3,40,93,13,26,88,5,38,93,8,32,100,0
7,1/3/2019,20,68,0,38,97,7,36,97,8,24,91,6,53,100,10,40,89,13,26,88,7,39,89,9,32,100,6
8,1/3/2019,21,71,7,39,93,9,37,96,5,27,85,3,48,100,11,39,93,11,26,88,10,38,89,9,32,100,8
9,1/3/2019,22,71,7,39,89,10,38,93,9,32,75,6,46,100,11,41,86,13,30,82,9,39,89,7,32,100,10
10,1/3/2019,29,63,9,40,89,8,36,93,13,37,62,0,46,96,13,44,73,16,36,55,10,43,80,13,32,100,9
11,1/3/2019,34,54,9,42,85,9,37,93,14,40,53,6,45,97,11,49,61,18,40,45,14,47,71,14,33,95,9
12,1/3/2019,39,39,10,42,79,9,37,93,11,44,40,0,46,96,8,52,57,15,46,35,10,50,61,10,35,90,9
13,1/3/2019,39,39,11,45,74,10,39,93,6,46,37,11,48,96,8,56,47,15,49,29,13,53,51,14,39,77,13
14,1/3/2019,41,38,14,48,66,7,39,89,8,47,39,7,48,93,11,59,39,18,53,23,17,53,47,11,41,66,14
